,wap,close,count,high,low,open,volume
2016-04-11 19:00:00,205.367,205.37,21,205.37,205.36,205.36,30
2016-04-11 19:00:05,205.364,205.36,15,205.37,205.36,205.37,22
2016-04-11 19:00:10,205.368,205.37,29,205.37,205.36,205.36,76
2016-04-11 19:00:15,205.351,205.35,41,205.37,205.35,205.37,92
2016-04-11 19:00:20,205.34,205.34,42,205.35,205.34,205.35,92
2016-04-11 19:00:25,205.351,205.35,44,205.36,205.34,205.35,166
2016-04-11 19:00:30,205.321,205.32,17,205.34,205.32,205.34,34
2016-04-11 19:00:35,205.329,205.33,45,205.34,205.32,205.32,239
2016-04-11 19:00:40,205.339,205.34,26,205.34,205.33,205.33,71
2016-04-11 19:00:45,205.344,205.35,9,205.35,205.33,205.34,11
2016-04-11 19:00:50,205.339,205.34,6,205.34,205.33,205.34,24
2016-04-11 19:00:55,205.34,205.34,0,205.34,205.33,205.34,0
2016-04-11 19:01:00,205.33,205.33,14,205.33,205.33,205.33,23
2016-04-11 19:01:05,205.34,205.34,27,205.34,205.34,205.34,55
2016-04-11 19:01:10,205.335,205.34,2,205.34,205.33,205.33,4
2016-04-11 19:01:15,205.353,205.36,15,205.36,205.34,205.34,21
2016-04-11 19:01:20,205.361,205.36,18,205.37,205.36,205.37,27
2016-04-11 19:01:25,205.367,205.37,2,205.37,205.36,205.37,51
2016-04-11 19:01:30,205.362,205.36,8,205.37,205.36,205.37,10
2016-04-11 19:01:35,205.378,205.38,21,205.38,205.36,205.37,50
2016-04-11 19:01:40,205.368,205.36,11,205.37,205.36,205.37,18
2016-04-11 19:01:45,205.366,205.37,5,205.37,205.36,205.36,5
2016-04-11 19:01:50,205.37,205.37,6,205.37,205.37,205.37,7
2016-04-11 19:01:55,205.36,205.36,1,205.36,205.36,205.36,4
2016-04-11 19:02:00,205.352,205.35,12,205.36,205.35,205.36,21
2016-04-11 19:02:05,205.355,205.36,2,205.36,205.35,205.35,2
2016-04-11 19:02:10,205.36,205.36,31,205.36,205.36,205.36,52
2016-04-11 19:02:15,205.364,205.36,17,205.37,205.36,205.37,23
2016-04-11 19:02:20,205.366,205.37,37,205.37,205.36,205.37,41
2016-04-11 19:02:25,205.36,205.36,16,205.36,205.36,205.36,19
2016-04-11 19:02:30,205.36,205.36,0,205.36,205.36,205.36,0
2016-04-11 19:02:35,205.35,205.35,2,205.36,205.35,205.36,2
2016-04-11 19:02:40,205.35,205.35,6,205.35,205.35,205.35,137
2016-04-11 19:02:45,205.339,205.33,44,205.35,205.32,205.35,72
2016-04-11 19:02:50,205.343,205.32,58,205.36,205.32,205.32,123
2016-04-11 19:02:55,205.356,205.35,36,205.36,205.35,205.35,66
2016-04-11 19:03:00,205.35,205.35,1,205.35,205.35,205.35,1
2016-04-11 19:03:05,205.359,205.36,21,205.36,205.35,205.36,38
2016-04-11 19:03:10,205.355,205.35,6,205.36,205.35,205.36,11
2016-04-11 19:03:15,205.345,205.34,10,205.36,205.34,205.35,12
2016-04-11 19:03:20,205.35,205.35,3,205.35,205.34,205.35,4
2016-04-11 19:03:25,205.35,205.35,0,205.35,205.34,205.35,0
2016-04-11 19:03:30,205.339,205.34,9,205.34,205.33,205.34,12
2016-04-11 19:03:35,205.34,205.34,0,205.34,205.34,205.34,0
2016-04-11 19:03:40,205.328,205.33,29,205.33,205.32,205.33,42
2016-04-11 19:03:45,205.33,205.33,0,205.33,205.33,205.33,0
2016-04-11 19:03:50,205.327,205.33,52,205.33,205.31,205.32,112
2016-04-11 19:03:55,205.314,205.31,40,205.33,205.3,205.33,68
2016-04-11 19:04:00,205.317,205.33,23,205.33,205.31,205.31,35
2016-04-11 19:04:05,205.33,205.33,2,205.33,205.32,205.33,4
2016-04-11 19:04:10,205.33,205.33,20,205.34,205.32,205.33,39
2016-04-11 19:04:15,205.332,205.32,40,205.34,205.32,205.34,96
2016-04-11 19:04:20,205.321,205.32,40,205.33,205.3,205.32,161
